locus_tag	ftype	length_bp	gene	EC_number	COG	product
AABHNHAC_03302	CDS	306	rpsN		COG0199	30S ribosomal protein S14
AABHNHAC_03303	CDS	540	rplE		COG0094	50S ribosomal protein L5
AABHNHAC_03304	CDS	315	rplX		COG0198	50S ribosomal protein L24
AABHNHAC_03305	CDS	372	rplN		COG0093	50S ribosomal protein L14
AABHNHAC_03306	CDS	255	rpsQ		COG0186	30S ribosomal protein S17
AABHNHAC_03307	CDS	192	rpmC		COG0255	50S ribosomal protein L29
AABHNHAC_03308	CDS	411	rplP		COG0197	50S ribosomal protein L16
AABHNHAC_03309	CDS	702	rpsC		COG0092	30S ribosomal protein S3
AABHNHAC_03310	CDS	333	rplV		COG0091	50S ribosomal protein L22
AABHNHAC_03311	CDS	279	rpsS		COG0185	30S ribosomal protein S19
AABHNHAC_03312	CDS	822	rplB		COG0090	50S ribosomal protein L2
AABHNHAC_03313	CDS	303	rplW		COG0089	50S ribosomal protein L23
AABHNHAC_03314	CDS	606	rplD		COG0088	50S ribosomal protein L4
AABHNHAC_03315	CDS	630	rplC		COG0087	50S ribosomal protein L3
AABHNHAC_03316	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
AABHNHAC_03317	CDS	420	gspB			Putative general secretion pathway protein B
AABHNHAC_03318	CDS	1470	gspA			Putative general secretion pathway protein A
AABHNHAC_03319	CDS	816	gspC		COG3031	Putative type II secretion system protein C
AABHNHAC_03320	CDS	1953	gspD		COG1450	Putative secretin GspD
AABHNHAC_03321	CDS	1482	gspE		COG2804	Putative type II secretion system protein E
AABHNHAC_03322	CDS	1197	gspF		COG1459	Putative type II secretion system protein F
AABHNHAC_03323	CDS	438	gspG		COG2165	Putative type II secretion system protein G
AABHNHAC_03324	CDS	510	gspH		COG2165	Putative type II secretion system protein H
AABHNHAC_03325	CDS	378	gspI		COG2165	Putative type II secretion system protein I
AABHNHAC_03326	CDS	588	gspJ		COG4795	Putative type II secretion system protein J
AABHNHAC_03327	CDS	984	gspK		COG3156	Putative type II secretion system protein K
AABHNHAC_03328	CDS	1164	gspL		COG3297	Putative type II secretion system protein L
AABHNHAC_03329	CDS	462	gspM			Putative type II secretion system protein M
AABHNHAC_03330	CDS	678	gspO		COG1989	Type 4 prepilin-like proteins leader peptide-processing enzyme
AABHNHAC_03331	CDS	477	bfr	1.16.3.1	COG2193	Bacterioferritin
AABHNHAC_03332	CDS	195	bfd		COG2906	Bacterioferritin-associated ferredoxin
AABHNHAC_03333	CDS	2694	chiA			putative bifunctional chitinase/lysozyme
AABHNHAC_03334	CDS	1185	tuf1			Elongation factor Tu 1
AABHNHAC_03335	CDS	2115	fusA		COG0480	Elongation factor G
AABHNHAC_03336	CDS	540	rpsG		COG0049	30S ribosomal protein S7
AABHNHAC_03337	CDS	375	rpsL		COG0048	30S ribosomal protein S12
AABHNHAC_03338	CDS	288	tusB		COG2168	Protein TusB
AABHNHAC_03339	CDS	360	tusC		COG2923	Protein TusC
AABHNHAC_03340	CDS	387	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
AABHNHAC_03341	CDS	723	dauR		COG2964	Transcriptional regulator DauR
AABHNHAC_03342	CDS	813	fkpA	5.2.1.8	COG0545	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
AABHNHAC_03343	CDS	219	slyX		COG2900	Protein SlyX 
AABHNHAC_03344	CDS	591	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
AABHNHAC_03345	CDS	201				hypothetical protein
AABHNHAC_03346	CDS	1806	kefC_2		COG0475	Glutathione-regulated potassium-efflux system protein KefC
AABHNHAC_03347	CDS	552	ywrO	1.6.99.-	COG2249	General stress protein 14
AABHNHAC_03348	CDS	1914	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
AABHNHAC_03349	CDS	1023				hypothetical protein
AABHNHAC_03350	CDS	219				hypothetical protein
AABHNHAC_03351	CDS	870	cfxP	2.7.1.19	COG3954	Phosphoribulokinase, plasmid
AABHNHAC_03352	CDS	405	yhfA		COG1765	Protein YhfA
AABHNHAC_03353	CDS	633	crp		COG0664	cAMP-activated global transcriptional regulator CRP
AABHNHAC_03354	CDS	2091				hypothetical protein
AABHNHAC_03355	CDS	1221	argD	2.6.1.11	COG4992	Acetylornithine/succinyldiaminopimelate aminotransferase
AABHNHAC_03356	CDS	564	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
AABHNHAC_03357	CDS	603	fic	2.7.7.-	COG2184	putative protein adenylyltransferase Fic
AABHNHAC_03358	CDS	168	yhfG			putative protein YhfG
AABHNHAC_03359	CDS	573	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
AABHNHAC_03360	CDS	1182	tsgA		COG0477	Protein TsgA
AABHNHAC_03361	CDS	2544	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
AABHNHAC_03362	CDS	327	nirD	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
AABHNHAC_03363	CDS	807	nirC		COG2116	Nitrite transporter NirC
AABHNHAC_03364	CDS	1374	cysG		COG0007	Siroheme synthase
AABHNHAC_03365	CDS	168				hypothetical protein
AABHNHAC_03366	CDS	1338	frlA		COG0531	putative fructoselysine/psicoselysine transporter FrlA
AABHNHAC_03367	CDS	1023	frlB	3.5.-.-	COG2222	Fructoselysine 6-phosphate deglycase
AABHNHAC_03368	CDS	831	frlC	5.1.3.41	COG1082	Fructoselysine 3-epimerase
AABHNHAC_03369	CDS	786	frlD	2.7.1.218	COG0524	Fructoselysine 6-kinase
AABHNHAC_03370	CDS	732	frlR		COG2188	putative fructoselysine utilization operon transcriptional repressor
AABHNHAC_03371	CDS	1086	yhfS			putative protein YhfS
AABHNHAC_03372	CDS	1305				hypothetical protein
AABHNHAC_03373	CDS	354				hypothetical protein
AABHNHAC_03374	CDS	879	php		COG1735	Phosphotriesterase homology protein
AABHNHAC_03375	CDS	1227	deoB_1	5.4.2.7	COG1015	Phosphopentomutase
AABHNHAC_03376	CDS	1164	yhfX		COG3457	putative protein YhfX
AABHNHAC_03377	CDS	363				hypothetical protein
AABHNHAC_03378	CDS	906				hypothetical protein
AABHNHAC_03379	CDS	1005	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
AABHNHAC_03380	CDS	759	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
AABHNHAC_03381	CDS	678	rpe_1	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
AABHNHAC_03382	CDS	837	dam	2.1.1.72	COG0338	DNA adenine methylase
AABHNHAC_03383	CDS	1287	damX		COG3266	Cell division protein DamX
AABHNHAC_03384	CDS	1089	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
AABHNHAC_03385	CDS	522	aroK	2.7.1.71	COG0703	Shikimate kinase 1
AABHNHAC_03386	CDS	1209	pilQ		COG4796	Type IV pilus biogenesis and competence protein PilQ
AABHNHAC_03387	CDS	405				hypothetical protein
AABHNHAC_03388	CDS	441				hypothetical protein
AABHNHAC_03389	CDS	540				hypothetical protein
AABHNHAC_03390	CDS	780				hypothetical protein
AABHNHAC_03391	CDS	2553	mrcA		COG5009	Penicillin-binding protein 1A
AABHNHAC_03392	CDS	561	nudE	3.6.1.-	COG0494	ADP compounds hydrolase NudE
AABHNHAC_03393	CDS	2136	yrfF			Putative membrane protein IgaA 
AABHNHAC_03394	CDS	669	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
AABHNHAC_03395	CDS	402	hslR		COG1188	Heat shock protein 15
AABHNHAC_03396	CDS	879	hslO		COG1281	33 kDa chaperonin
AABHNHAC_03397	CDS	1725				hypothetical protein
AABHNHAC_03398	CDS	1623	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
AABHNHAC_03399	CDS	1353	envZ	2.7.13.3		Osmolarity sensor protein EnvZ
AABHNHAC_03400	CDS	720	ompR			Transcriptional regulatory protein OmpR
AABHNHAC_03401	CDS	477	greB		COG0782	Transcription elongation factor GreB
AABHNHAC_03402	CDS	2322	yhgF		COG2183	Protein YhgF
AABHNHAC_03403	CDS	228	feoA		COG1918	Fe(2+) transport protein A
AABHNHAC_03404	CDS	2322	feoB		COG0370	Fe(2+) transporter FeoB
AABHNHAC_03405	CDS	237	feoC			putative [Fe-S]-dependent transcriptional repressor FeoC
AABHNHAC_03406	CDS	879				ISNCY family transposase ISVsa17
AABHNHAC_03407	CDS	771	bioH	3.1.1.85	COG0596	Pimeloyl-[acyl-carrier protein] methyl ester esterase
AABHNHAC_03408	CDS	684	prs_2			Putative ribose-phosphate pyrophosphokinase
AABHNHAC_03409	CDS	576	nfuA		COG0316	Fe/S biogenesis protein NfuA
AABHNHAC_03410	CDS	1317	gntT		COG2610	High-affinity gluconate transporter
AABHNHAC_03411	CDS	2085	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
AABHNHAC_03412	CDS	2394	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
AABHNHAC_03413	CDS	2706	malT		COG2909	HTH-type transcriptional regulator MalT
AABHNHAC_03414	CDS	1017	rtcA	6.5.1.4	COG0430	RNA 3'-terminal phosphate cyclase
AABHNHAC_03415	CDS	1227	rtcB	6.5.1.-	COG1690	RNA-splicing ligase RtcB
AABHNHAC_03416	CDS	1599	norR_3			Anaerobic nitric oxide reductase transcription regulator NorR
AABHNHAC_03417	CDS	507	glpR		COG1349	Glycerol-3-phosphate regulon repressor
AABHNHAC_03418	CDS	831	glpG	3.4.21.105	COG0705	Rhomboid protease GlpG
AABHNHAC_03419	CDS	327	glpE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
AABHNHAC_03420	CDS	1506	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
AABHNHAC_03421	CDS	282				hypothetical protein
AABHNHAC_03422	CDS	2448	malP_2	2.4.1.1	COG0058	Maltodextrin phosphorylase
AABHNHAC_03423	CDS	1434	glgA	2.4.1.21	COG0297	Glycogen synthase
AABHNHAC_03424	CDS	1296	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
AABHNHAC_03425	CDS	1974	glgX	3.2.1.196	COG1523	Glycogen debranching enzyme
AABHNHAC_03426	CDS	2187	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
AABHNHAC_03427	CDS	1104	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
AABHNHAC_03428	CDS	594				hypothetical protein
AABHNHAC_03429	CDS	1341	gntU		COG2610	Low-affinity gluconate transporter
AABHNHAC_03430	CDS	528	gntK_1	2.7.1.12	COG3265	Thermoresistant gluconokinase
AABHNHAC_03431	CDS	996	gntR_1			HTH-type transcriptional regulator GntR
AABHNHAC_03432	CDS	696	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
AABHNHAC_03433	CDS	1038	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
AABHNHAC_03434	CDS	489	aaaT	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
AABHNHAC_03435	CDS	1179				hypothetical protein
AABHNHAC_03436	CDS	417				hypothetical protein
AABHNHAC_03437	CDS	276			COG1662	IS1 family transposase IS1A
AABHNHAC_03438	CDS	378			COG1662	IS1 family transposase IS1A
AABHNHAC_03439	CDS	156				hypothetical protein
AABHNHAC_03440	CDS	285				hypothetical protein
AABHNHAC_03441	CDS	1743	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
AABHNHAC_03442	CDS	441	yhhA			putative protein YhhA
AABHNHAC_03443	CDS	744	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
AABHNHAC_03444	CDS	1071	ugpC_2	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
AABHNHAC_03445	CDS	846	lacG			Lactose transport system permease protein LacG
AABHNHAC_03446	CDS	888	ugpA		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
AABHNHAC_03447	CDS	1317	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
AABHNHAC_03448	CDS	714	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
AABHNHAC_03449	CDS	768	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
AABHNHAC_03450	CDS	1278				hypothetical protein
AABHNHAC_03451	CDS	927	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
AABHNHAC_03452	CDS	1110	livK		COG0683	Leucine-specific-binding protein
AABHNHAC_03453	CDS	384	panZ			PanD regulatory factor
AABHNHAC_03454	CDS	1104	livJ		COG0683	Leu/Ile/Val-binding protein
AABHNHAC_03455	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
AABHNHAC_03456	CDS	1059	ftsX		COG2177	Cell division protein FtsX
AABHNHAC_03457	CDS	669	ftsE		COG2884	Cell division ATP-binding protein FtsE
AABHNHAC_03458	CDS	1494	ftsY		COG0552	Signal recognition particle receptor FtsY
AABHNHAC_03459	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
AABHNHAC_03460	CDS	270				hypothetical protein
AABHNHAC_03461	CDS	360				hypothetical protein
AABHNHAC_03462	CDS	627				hypothetical protein
AABHNHAC_03463	CDS	2199	zntA	3.6.3.3	COG2217	Zinc/cadmium/lead-transporting P-type ATPase
AABHNHAC_03464	CDS	246	tusA		COG0425	Sulfur carrier protein TusA
AABHNHAC_03465	CDS	666	yhhQ		COG1738	Queuosine precursor transporter
AABHNHAC_03466	CDS	558				hypothetical protein
AABHNHAC_03467	CDS	1251	yhhS			putative MFS-type transporter YhhS
AABHNHAC_03468	CDS	1050	yhhT_2		COG0628	Putative transport protein YhhT
AABHNHAC_03469	CDS	588				hypothetical protein
AABHNHAC_03470	CDS	1575	nikA		COG0747	Nickel-binding periplasmic protein
AABHNHAC_03471	CDS	945	nikB		COG0601	Nickel transport system permease protein NikB
AABHNHAC_03472	CDS	834	nikC		COG1173	Nickel transport system permease protein NikC
AABHNHAC_03473	CDS	765	nikD	7.2.2.11		Nickel import ATP-binding protein NikD
AABHNHAC_03474	CDS	807	nikE	7.2.2.11		Nickel import ATP-binding protein NikE
AABHNHAC_03475	CDS	402	nikR		COG0864	Nickel-responsive regulator
AABHNHAC_03476	CDS	4236	rhsC_2		COG3209	Protein RhsC
AABHNHAC_03477	CDS	384				hypothetical protein
AABHNHAC_03478	CDS	246	yibA_1			Protein YibA
AABHNHAC_03479	CDS	1137				ISAs1 family transposase ISEc1
AABHNHAC_03480	CDS	1125	yhhJ		COG0842	Inner membrane transport permease YhhJ
AABHNHAC_03481	CDS	2736	rbbA		COG0842	Ribosome-associated ATPase
AABHNHAC_03482	CDS	1068				hypothetical protein
AABHNHAC_03483	CDS	1623				hypothetical protein
AABHNHAC_03484	CDS	372				hypothetical protein
AABHNHAC_03485	CDS	1239				hypothetical protein
AABHNHAC_03486	CDS	1053	yhiM			Inner membrane protein YhiM
AABHNHAC_03487	CDS	1203			COG2081	putative protein
AABHNHAC_03488	CDS	1500	pitA_2		COG0306	Low-affinity inorganic phosphate transporter 1
AABHNHAC_03489	CDS	336	uspB			Universal stress protein B
AABHNHAC_03490	CDS	435	uspA		COG0589	Universal stress protein A
AABHNHAC_03491	CDS	1470	dtpB		COG3104	Dipeptide and tripeptide permease B
AABHNHAC_03492	CDS	753	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
AABHNHAC_03493	CDS	2043	prlC	3.4.24.70	COG0339	Oligopeptidase A
AABHNHAC_03494	CDS	843	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
AABHNHAC_03495	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
AABHNHAC_03496	CDS	174				hypothetical protein
AABHNHAC_03497	CDS	354				hypothetical protein
AABHNHAC_03498	CDS	1290	arsB_3		COG1055	Arsenical pump membrane protein
AABHNHAC_03499	CDS	426	arsC	1.20.4.1		Arsenate reductase
AABHNHAC_03500	CDS	783				hypothetical protein
AABHNHAC_03501	CDS	981			COG3039	IS5 family transposase IS5
AABHNHAC_03502	CDS	567	slp_2		COG3065	Outer membrane protein Slp
AABHNHAC_03503	CDS	531	dctR		COG2771	HTH-type transcriptional regulator DctR
AABHNHAC_03504	CDS	576	sapB_2		COG1285	Protein SapB
AABHNHAC_03505	CDS	339	hdeB			Acid stress chaperone HdeB
AABHNHAC_03506	CDS	333	hdeA			Acid stress chaperone HdeA
AABHNHAC_03507	CDS	573	hdeD		COG3247	Protein HdeD
AABHNHAC_03508	CDS	528	gadE			Transcriptional regulator GadE
AABHNHAC_03509	CDS	279				hypothetical protein
AABHNHAC_03510	CDS	1158	mdtE			Multidrug resistance protein MdtE
AABHNHAC_03511	CDS	3114	mdtF		COG0841	Multidrug resistance protein MdtF
AABHNHAC_03512	CDS	729	gadW			HTH-type transcriptional regulator GadW
AABHNHAC_03513	CDS	825	gadX_1			HTH-type transcriptional regulator GadX
AABHNHAC_03514	CDS	1401	gadA	4.1.1.15	COG0076	Glutamate decarboxylase alpha
AABHNHAC_03515	CDS	1398				hypothetical protein
AABHNHAC_03516	CDS	1650	treF	3.2.1.28	COG1626	Cytoplasmic trehalase
AABHNHAC_03517	CDS	603	yhjB			Putative HTH-type transcriptional regulator YhjB
AABHNHAC_03518	CDS	972	dmlR_5			HTH-type transcriptional regulator DmlR
AABHNHAC_03519	CDS	1014	yhjD		COG1295	Inner membrane protein YhjD
AABHNHAC_03520	CDS	1323	yhjE			Inner membrane metabolite transport protein YhjE
AABHNHAC_03521	CDS	2061				hypothetical protein
AABHNHAC_03522	CDS	768	pdeH	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeH
AABHNHAC_03523	CDS	930	kdgK_2	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
AABHNHAC_03524	CDS	1497	yhjJ		COG0612	Protein YhjJ
AABHNHAC_03525	CDS	1287	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
AABHNHAC_03526	CDS	1950	pdeK	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeK
AABHNHAC_03527	CDS	3474	bcsC		COG0457	Cellulose synthase operon protein C
AABHNHAC_03528	CDS	1107	bcsZ	3.2.1.4	COG3405	Endoglucanase
AABHNHAC_03529	CDS	2304	bcsB			Cyclic di-GMP-binding protein
AABHNHAC_03530	CDS	2619	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
AABHNHAC_03531	CDS	729	bcsQ			Cellulose biosynthesis protein BcsQ
AABHNHAC_03532	CDS	189	yhjR			Protein YhjR
AABHNHAC_03533	CDS	1560	bcsE			Cyclic di-GMP binding protein BcsE
AABHNHAC_03534	CDS	192				hypothetical protein
AABHNHAC_03535	CDS	1680	bcsG			Cellulose biosynthesis protein BcsG
AABHNHAC_03536	CDS	108	ldrD			Small toxic polypeptide LdrD
AABHNHAC_03537	CDS	1272	yhjV		COG0814	Inner membrane transport protein YhjV
AABHNHAC_03538	CDS	1005	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
AABHNHAC_03539	CDS	984	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
AABHNHAC_03540	CDS	903	dppC		COG1173	Dipeptide transport system permease protein DppC
AABHNHAC_03541	CDS	1020	dppB		COG0601	Dipeptide transport system permease protein DppB
AABHNHAC_03542	CDS	1608	dppA		COG0747	Periplasmic dipeptide transport protein
AABHNHAC_03543	tRNA	77				tRNA-Pro(cgg)
AABHNHAC_03544	CDS	1692	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
AABHNHAC_03545	CDS	1209	yhjX			putative MFS-type transporter YhjX
AABHNHAC_03546	CDS	699				hypothetical protein
AABHNHAC_03547	CDS	564	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
AABHNHAC_03548	CDS	441	yiaC	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YiaC
AABHNHAC_03549	CDS	2334	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
AABHNHAC_03550	CDS	660	yiaD		COG2885	putative lipoprotein YiaD
AABHNHAC_03551	CDS	975	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
AABHNHAC_03552	CDS	711				hypothetical protein
AABHNHAC_03553	CDS	291				hypothetical protein
AABHNHAC_03554	CDS	213	cspA		COG1278	Cold shock protein CspA
AABHNHAC_03555	CDS	153	hokA			Protein HokA
AABHNHAC_03556	CDS	522				IS3 family transposase IS103
AABHNHAC_03557	CDS	366				IS3 family transposase IS150
AABHNHAC_03558	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
AABHNHAC_03559	CDS	912	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
AABHNHAC_03560	CDS	300				hypothetical protein
AABHNHAC_03561	CDS	996	wecH	2.3.1.-	COG3274	O-acetyltransferase WecH
AABHNHAC_03562	CDS	438	yiaA		COG4682	Inner membrane protein YiaA
AABHNHAC_03563	CDS	342	yiaB		COG4682	Inner membrane protein YiaB
AABHNHAC_03564	CDS	1455	xylB	2.7.1.17	COG1070	Xylulose kinase
AABHNHAC_03565	CDS	1323	xylA	5.3.1.5		Xylose isomerase
AABHNHAC_03566	CDS	993	xylF		COG4213	D-xylose-binding periplasmic protein
AABHNHAC_03567	CDS	1542	xylG	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
AABHNHAC_03568	CDS	1182	xylH		COG4214	Xylose transport system permease protein XylH
AABHNHAC_03569	CDS	1179	xylR			Xylose operon regulatory protein
AABHNHAC_03570	CDS	825				hypothetical protein
AABHNHAC_03571	CDS	2031	malS	3.2.1.1	COG0366	Periplasmic alpha-amylase
AABHNHAC_03572	CDS	1254	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
AABHNHAC_03573	CDS	474	hyfA_5	1.-.-.-	COG1142	Hydrogenase-4 component A
AABHNHAC_03574	CDS	849	yiaJ		COG1414	DNA-binding transcriptional repressor YiaJ
AABHNHAC_03575	CDS	999	dlgD	1.1.1.130	COG2055	2,3-diketo-L-gulonate reductase
AABHNHAC_03576	CDS	468	yhcH_2		COG2731	putative protein YhcH
AABHNHAC_03577	CDS	474	yiaM		COG3090	2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM
AABHNHAC_03578	CDS	1278	siaM		COG1593	Sialic acid TRAP transporter large permease protein SiaM
AABHNHAC_03579	CDS	987	yiaO		COG1638	2,3-diketo-L-gulonate-binding periplasmic protein YiaO
AABHNHAC_03580	CDS	1497	lyx	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
AABHNHAC_03581	CDS	663	sgbH	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
AABHNHAC_03582	CDS	861	ulaE_1	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
AABHNHAC_03583	CDS	696	sgbE	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase SgbE
AABHNHAC_03584	CDS	741	mipA_2		COG3713	MltA-interacting protein
AABHNHAC_03585	CDS	975				hypothetical protein
AABHNHAC_03586	CDS	1137	yiaV		COG1566	Inner membrane protein YiaV
AABHNHAC_03587	CDS	324	yiaW_1			Inner membrane protein YiaW
AABHNHAC_03588	CDS	213				hypothetical protein
AABHNHAC_03589	CDS	1539	aldB	1.2.1.-	COG1012	Aldehyde dehydrogenase B
AABHNHAC_03590	CDS	1152	adhB	1.1.1.1		Alcohol dehydrogenase 2
AABHNHAC_03591	CDS	1845	selB		COG3276	Selenocysteine-specific elongation factor
AABHNHAC_03592	CDS	1392	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
AABHNHAC_03593	CDS	609	yibF		COG0625	putative GST-like protein YibF
AABHNHAC_03594	CDS	4134	rhsC_3		COG3209	Protein RhsC
AABHNHAC_03595	CDS	843	yibA_2			Protein YibA
AABHNHAC_03596	CDS	696				hypothetical protein
AABHNHAC_03597	CDS	462				hypothetical protein
AABHNHAC_03598	CDS	1137	yibH		COG1566	Inner membrane protein YibH
AABHNHAC_03599	CDS	363	yiaW_2			Inner membrane protein YiaW
AABHNHAC_03600	CDS	1914	mtlA_2		COG2213	PTS system mannitol-specific EIICBA component
AABHNHAC_03601	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
AABHNHAC_03602	CDS	588	mtlR		COG3722	Mannitol operon repressor
AABHNHAC_03603	CDS	210				hypothetical protein
AABHNHAC_03604	CDS	363	yibL			putative protein YibL
AABHNHAC_03605	CDS	1656	lldP		COG1620	L-lactate permease
AABHNHAC_03606	CDS	777	lldR_2		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
AABHNHAC_03607	CDS	1191	lldD	1.1.-.-	COG1304	L-lactate dehydrogenase
AABHNHAC_03608	CDS	474	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
AABHNHAC_03609	CDS	822	cysE_2	2.3.1.30	COG1045	Serine acetyltransferase
AABHNHAC_03610	CDS	1020	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
AABHNHAC_03611	CDS	468	secB		COG1952	Protein-export protein SecB
AABHNHAC_03612	CDS	252	grxC		COG0695	Glutaredoxin 3
AABHNHAC_03613	CDS	432	yibN		COG0607	putative protein YibN
AABHNHAC_03614	CDS	1545	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
AABHNHAC_03615	CDS	1260	envC		COG4942	Murein hydrolase activator EnvC
AABHNHAC_03616	CDS	960				hypothetical protein
AABHNHAC_03617	CDS	1035	arnC_3	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
AABHNHAC_03618	CDS	1026	tdh_2	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
AABHNHAC_03619	CDS	1197	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
AABHNHAC_03620	CDS	873	htrL			Protein HtrL
AABHNHAC_03621	CDS	933	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
AABHNHAC_03622	CDS	1047	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
AABHNHAC_03623	CDS	960	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
AABHNHAC_03624	CDS	1260	rfaL			O-antigen ligase
AABHNHAC_03625	CDS	1074				hypothetical protein
AABHNHAC_03626	CDS	852				hypothetical protein
AABHNHAC_03627	CDS	699	rfaY	2.7.1.-		Lipopolysaccharide core heptose(II) kinase RfaY
AABHNHAC_03628	CDS	1017				hypothetical protein
AABHNHAC_03629	CDS	1020				hypothetical protein
AABHNHAC_03630	CDS	1080	rfaB	2.4.1.-	COG0438	Lipopolysaccharide 1,6-galactosyltransferase
AABHNHAC_03631	CDS	936				hypothetical protein
AABHNHAC_03632	CDS	798	rfaP	2.7.1.-		Lipopolysaccharide core heptose(I) kinase RfaP
AABHNHAC_03633	CDS	1125	rfaG	2.4.-.-		Lipopolysaccharide core biosynthesis protein RfaG
AABHNHAC_03634	CDS	1071	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
AABHNHAC_03635	CDS	1278	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
AABHNHAC_03636	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
AABHNHAC_03637	CDS	810	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
